,customer,recency,frequency,monetary
388,cust1278,45,10,1474561
389,cust547,22,41,594247
390,cust3594,91,5,147553
391,cust728,16,37,1620035
392,cust47,30,32,492954
393,cust3182,64,8,129243
394,cust900,30,39,438411
395,cust315,14,22,295030
396,cust644,255,6,1104909
397,cust2756,17,12,94053
398,cust38,37,64,703583
399,cust1516,120,6,340251
400,cust781,85,6,1262759
401,cust3639,120,7,57360
402,cust2451,74,4,13241
403,cust2659,35,8,80525
404,cust609,92,7,138538
405,cust2763,24,13,342489
406,cust2650,35,8,250945
407,cust1559,16,24,274546
408,cust835,52,56,1552869
409,cust3153,44,2,22938
410,cust111,10,15,222945
411,cust711,50,9,509074
412,cust622,39,50,1965066
413,cust235,87,11,458268
414,cust1170,45,9,535867
415,cust57,95,18,974737
416,cust224,58,7,490763
417,cust3703,72,4,27696
418,cust778,25,14,199346
419,cust457,73,10,102410
420,cust3615,50,3,77112
421,cust252,11,46,887664
422,cust670,22,10,105380
423,cust335,64,25,2578969
424,cust221,70,14,820097
425,cust337,21,59,1018749
426,cust873,84,23,412070
427,cust1010,77,7,79115
428,cust297,17,22,412710
429,cust239,52,39,3624893
430,cust2973,123,1,19216
431,cust627,56,18,511674
432,cust969,80,3,32499
433,cust3783,22,4,3540
434,cust89,57,30,685138
435,cust2237,114,17,194090
436,cust3810,93,1,11687
437,cust363,109,62,929294
438,cust1888,10,11,263920
439,cust1294,72,23,531523
440,cust16,14,48,730915
441,cust204,16,32,295162
442,cust1041,73,6,210248
443,cust3846,218,1,26777
444,cust801,85,40,361159
445,cust305,22,36,761835
446,cust1497,11,21,365175
447,cust1683,17,24,205710
448,cust1258,80,7,7866054
449,cust209,21,45,1778667
450,cust2584,28,11,246387
451,cust222,64,11,246417
452,cust3899,93,2,21230
453,cust536,79,38,670428
454,cust1139,78,7,629765
455,cust288,11,42,507836
456,cust3618,106,7,221713
457,cust3280,170,2,403682
458,cust281,109,36,1186537
459,cust1311,21,7,78508
460,cust1975,121,2,68619
461,cust2500,65,5,388912
462,cust2154,10,24,439155
463,cust456,21,87,2709531
464,cust3952,142,3,185326
465,cust868,53,11,325898
466,cust3959,149,1,249954
467,cust1236,29,32,1327190
468,cust1109,17,20,242771
469,cust3752,46,7,50863
470,cust3676,129,2,5536
471,cust1532,86,1,246975
472,cust1213,45,8,296183
473,cust228,72,3,32366
474,cust2091,210,8,589454
475,cust541,100,9,193330
476,cust28,23,44,1055252
477,cust150,11,41,809925
478,cust1250,36,15,290566
479,cust4025,193,1,38068
480,cust714,23,15,548606
481,cust4033,142,2,311653
482,cust2992,92,4,535966
483,cust1155,30,7,910800
484,cust117,21,28,336919
485,cust24,43,46,665193
486,cust2928,25,4,34812
487,cust1974,80,19,262872
488,cust1272,25,9,138163
489,cust129,17,50,949540
490,cust1931,23,12,55761
491,cust1003,49,10,1373189
492,cust2913,129,2,100059
493,cust311,44,8,169948
494,cust369,45,10,431435
495,cust398,14,35,654551
496,cust998,137,8,685462
497,cust832,42,15,186446
498,cust2145,31,11,282362
499,cust985,43,5,108859
500,cust934,23,20,250687
501,cust2409,67,4,234404
502,cust379,44,67,2417917
503,cust1033,25,24,432164
504,cust1075,58,7,99661
505,cust338,64,22,252334
506,cust844,78,5,409521
507,cust4145,225,1,3576
508,cust509,72,2,34044
509,cust31,16,78,2232852
510,cust2306,17,20,282003
511,cust1650,22,14,179268
512,cust706,43,6,238304
513,cust1289,27,9,198413
514,cust1834,121,2,42018
515,cust478,102,4,171060
516,cust167,14,51,1656697
517,cust2062,38,18,525474
518,cust1695,260,6,570721
519,cust336,11,29,441407
520,cust4189,116,2,143352
521,cust1238,81,14,2141546
522,cust135,14,67,776808
523,cust2456,25,16,1131291
524,cust4205,37,4,23405
525,cust1191,23,9,144157
526,cust2964,219,6,285810
527,cust538,32,28,1381643
528,cust1077,38,18,590261
529,cust133,53,5,750607
530,cust376,25,19,374977
531,cust1376,112,12,427684
532,cust565,53,4,378431
533,cust1486,142,2,604338
534,cust492,28,91,2176680
535,cust585,15,41,871365
536,cust2771,70,6,86857
537,cust4263,92,1,5646
538,cust1047,59,30,351020
539,cust2007,51,6,283348
540,cust679,108,13,723077
541,cust6,100,6,129917
542,cust4271,248,2,125628
543,cust1388,106,8,114797
544,cust1245,57,12,289991
545,cust1780,63,10,170106
546,cust3217,100,1,30457
547,cust1373,66,19,577077
548,cust725,29,21,299926
549,cust4310,121,1,64207
550,cust593,38,46,814667
551,cust542,74,18,125247
552,cust977,16,38,473544
553,cust2064,156,3,61023
554,cust1162,35,18,280629
555,cust657,77,6,218344
556,cust41,36,16,782989
557,cust1318,100,2,62461
558,cust3160,106,3,123265
559,cust2792,24,23,2218767
560,cust2570,63,9,86054
561,cust687,79,18,459214
562,cust1485,10,15,103742
563,cust1700,11,21,587916
564,cust495,28,10,155725
565,cust2275,325,3,984933
566,cust2621,87,2,103712
567,cust1732,38,8,39799
568,cust4383,128,1,6814
569,cust1124,37,9,66254
570,cust1223,22,20,575913
571,cust987,18,19,165720
572,cust628,23,33,999164
573,cust1320,23,6,189845
574,cust278,56,11,1451922
575,cust384,17,31,494015
576,cust701,31,37,936937
577,cust611,25,13,2372487
578,cust1125,21,10,91734
579,cust755,28,54,2432009
580,cust59,56,7,57623
581,cust383,29,46,1503555
582,cust2460,29,3,10996
583,cust1949,95,2,65776
584,cust881,77,6,95370
585,cust1764,63,12,738940
586,cust1169,60,8,53892
587,cust3571,87,4,27778
588,cust4164,29,6,92747
589,cust1212,108,9,309423
590,cust4450,197,2,147906
591,cust374,67,16,21568918
592,cust187,15,14,229110
593,cust1389,63,3,160789
594,cust647,10,45,675112
595,cust975,29,13,159761
596,cust4291,86,3,48796
597,cust522,64,5,40845
598,cust1838,37,11,471104
599,cust1267,63,7,527656
600,cust73,32,41,1016996
601,cust138,121,6,149696
602,cust1344,36,19,227514
603,cust2307,80,6,274345
604,cust678,56,21,567971
605,cust649,16,29,463378
606,cust2569,112,8,276937
607,cust1655,24,7,26524
608,cust555,66,14,168681
609,cust700,178,1,133975
610,cust1944,11,52,3542551
611,cust4540,91,1,16842
612,cust2288,64,8,244062
613,cust692,87,6,317597
614,cust1414,32,6,579489
615,cust3147,49,2,7707
616,cust323,16,28,483706
617,cust1151,21,18,567703
618,cust1181,18,16,145929
619,cust149,43,29,372284
620,cust572,44,9,111169
621,cust894,156,2,244260
622,cust272,46,19,743642
623,cust1449,70,2,36363
624,cust1814,101,27,412361
625,cust2434,78,9,683284
626,cust218,28,48,1532823
627,cust796,127,15,396134
628,cust4284,80,1,14036
629,cust4593,94,1,17686
630,cust2270,58,3,169232
631,cust29,101,6,224270
632,cust765,95,33,1696226
633,cust83,30,9,138953
634,cust1156,24,27,509051
635,cust455,126,6,-442699
636,cust3984,30,6,100547
637,cust722,11,43,821136
638,cust616,30,26,355732
639,cust504,45,10,218098
640,cust874,77,20,1477109
641,cust1854,37,11,111440
642,cust879,88,21,251444
643,cust1902,66,5,77514
644,cust1052,17,16,495688
645,cust42,15,73,8181685
